date,year,month,day,day_of_week,week_of_year,meal_type,menu_item,menu_popularity,weather,temperature_c,is_exam_period,is_festival,is_weekend,is_start_semester,is_end_semester,is_monsoon,total_capacity,students_attended,attendance_rate,food_prepared_kg,food_consumed_kg,food_wasted_kg,waste_percentage,cost_per_kg_rs,total_cost_rs,waste_cost_rs,staff_count,serving_duration_mins,student_satisfaction,day_of_week_num,is_monday,is_friday,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,students_lag_1,waste_lag_1,students_lag_7,waste_lag_7,students_lag_14,waste_lag_14,students_same_day_last_week,students_roll_3d_mean,students_roll_3d_std,students_roll_7d_mean,students_roll_7d_std,students_roll_14d_mean,students_roll_14d_std,students_roll_7d_max,students_roll_7d_min,weekend_x_exam,weekend_x_festival,rainy_x_weekend,exam_x_festival,popularity_x_weekend,temp_x_rainy,menu_count_last_7days,menu_historical_avg,menu_historical_std,is_popular_menu,is_unpopular_menu,daily_total_attendance,daily_avg_attendance,pct_of_daily_attendance,week_year,weekly_avg_attendance,special_conditions_count,has_special_condition,is_normal_day,meal_type_avg,deviation_from_meal_avg,pct_deviation_from_meal_avg,dow_avg,deviation_from_dow_avg,temp_deviation
2024-01-15,2024,1,15,Monday,3,Breakfast,Idli-Sambar,3.9,Sunny,25.5,False,False,False,False,False,False,800,441,56.7,169.78,144.54,25.24,14.87,143.17,24308.29,3613.87,9,69,3.78,0,1,0,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.0,1.0,323.0,23.49,419.0,36.49,425.0,36.82,419.0,345.0,87.10912696153025,370.42857142857144,74.16840554408851,374.92857142857144,61.31440323411819,486.0,271.0,0,0,0,0,0.0,0.0,2,457.4418604651163,63.9487526687177,0,0,1418,472.6666666666667,31.100141043723557,2024-03,454.95238095238096,0,0,1,400.19463087248323,40.80536912751677,10.196380955575304,459.8062015503876,-18.806201550387584,-0.9976510067114113
2024-01-15,2024,1,15,Monday,3,Dinner,Roti-Dal,3.3,Sunny,25.5,False,False,False,False,False,False,800,465,54.0,179.03,153.92,25.11,14.02,149.68,26796.39,3758.03,12,87,3.68,0,1,0,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.0,1.0,275.0,16.02,470.0,29.25,459.0,39.68,470.0,357.6666666666667,97.3721383832836,404.57142857142856,78.18537191158191,399.0,80.86646162275565,492.0,275.0,0,0,0,0,0.0,0.0,2,427.6744186046512,62.5028460038621,0,0,1418,472.6666666666667,32.792665726375176,2024-03,454.95238095238096,0,0,1,410.0973154362416,54.902684563758385,13.387721035275632,459.8062015503876,5.193798449612416,-0.9976510067114113
2024-01-15,2024,1,15,Monday,3,Lunch,Rice-Dal-Sabzi,3.4,Sunny,25.5,False,False,False,False,False,False,800,512,62.47,197.12,159.32,37.8,19.18,144.86,28554.07,5476.09,11,63,3.62,0,1,0,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.0,1.0,432.0,24.78,451.0,34.09,498.0,31.78,451.0,453.0,51.79768334587942,496.42857142857144,73.47529549187982,484.57142857142856,76.42866385944909,596.0,415.0,0,0,0,0,0.0,0.0,2,494.30232558139534,69.65374733833367,0,0,1418,472.6666666666667,36.10719322990127,2024-03,454.95238095238096,0,0,1,506.33557046979865,5.664429530201346,1.1187105667780082,459.8062015503876,52.193798449612416,-0.9976510067114113
2024-01-16,2024,1,16,Tuesday,3,Breakfast,Poha,3.7,Sunny,26.6,False,False,False,False,False,False,800,447,56.78,172.09,137.62,34.47,20.03,147.81,25437.3,5095.07,12,79,3.67,1,0,0,-0.10116832198743204,-0.9948693233918952,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,441.0,25.24,394.0,25.85,422.0,27.33,394.0,403.6666666666667,69.92376801441216,378.0,79.49004130497522,376.7142857142857,63.127987906655605,486.0,271.0,0,0,0,0,0.0,0.0,2,435.7906976744186,71.04142257113264,0,0,1426,475.3333333333333,31.34642356241234,2024-03,454.95238095238096,0,0,1,400.19463087248323,46.80536912751677,11.695651444766805,506.13953488372096,-59.139534883720955,0.10234899328859015
2024-01-16,2024,1,16,Tuesday,3,Dinner,Rice-Rajma,3.8,Sunny,26.6,False,False,False,False,False,False,800,448,62.01,172.48,141.61,30.87,17.9,83.98,14485.14,2592.67,12,50,4.09,1,0,0,-0.10116832198743204,-0.9948693233918952,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,465.0,25.11,424.0,29.85,499.0,38.81,424.0,396.0,105.13324878457811,408.0,79.69107018146178,395.35714285714283,77.07499558906859,492.0,275.0,0,0,0,0,0.0,0.0,2,498.04651162790697,86.12475820364762,0,0,1426,475.3333333333333,31.416549789621318,2024-03,454.95238095238096,0,0,1,410.0973154362416,37.902684563758385,9.242363492050503,506.13953488372096,-58.139534883720955,0.10234899328859015
2024-01-16,2024,1,16,Tuesday,3,Lunch,Roti-Paneer,4.0,Sunny,26.6,False,False,False,False,False,False,800,531,72.93,204.44,163.8,40.63,19.88,83.51,17072.36,3393.36,11,77,4.26,1,0,0,-0.10116832198743204,-0.9948693233918952,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,512.0,37.8,590.0,43.9,623.0,36.86,590.0,491.6666666666667,52.53887449625589,488.0,63.68411628237196,478.0,66.98220199885478,596.0,415.0,0,0,0,0,0.0,0.0,4,468.32941176470587,145.08555671570826,0,0,1426,475.3333333333333,37.23702664796634,2024-03,454.95238095238096,0,0,1,506.33557046979865,24.664429530201346,4.871162716717036,506.13953488372096,24.860465116279045,0.10234899328859015
2024-01-17,2024,1,17,Wednesday,3,Breakfast,Upma,3.5,Sunny,30.4,False,False,False,False,False,False,800,471,53.2,181.34,141.24,40.09,22.11,140.33,25446.26,5626.03,11,52,3.92,2,0,0,-0.2993631229733582,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,447.0,34.47,340.0,23.0,421.0,24.35,340.0,453.0,15.874507866387372,396.7142857142857,84.32618076199564,380.2857142857143,67.11463049420466,486.0,271.0,0,0,0,0,0.0,0.0,2,402.1162790697674,78.48482088680939,0,1,1544,514.6666666666666,30.505181347150256,2024-03,454.95238095238096,0,0,1,400.19463087248323,70.80536912751677,17.69273340153281,470.6046511627907,0.3953488372093261,3.9023489932885873
2024-01-17,2024,1,17,Wednesday,3,Dinner,Paratha-Paneer,4.1,Sunny,30.4,False,False,False,False,False,False,800,550,63.84,211.75,176.28,35.47,16.75,119.57,25318.08,4241.07,10,61,4.01,2,0,0,-0.2993631229733582,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,448.0,30.87,492.0,33.96,466.0,30.69,492.0,487.6666666666667,54.64735431229337,416.2857142857143,91.95236862222798,401.35714285714283,85.7757426197991,550.0,275.0,0,0,0,0,0.0,0.0,2,493.16279069767444,94.51730258140397,0,0,1544,514.6666666666666,35.62176165803109,2024-03,454.95238095238096,0,0,1,410.0973154362416,139.90268456375838,34.11450875140128,470.6046511627907,79.39534883720933,3.9023489932885873
2024-01-17,2024,1,17,Wednesday,3,Lunch,Rice-Sambar,3.6,Sunny,30.4,False,False,False,False,False,False,800,523,65.89,201.35,166.02,35.33,17.55,120.52,24268.18,4258.68,8,84,3.61,2,0,0,-0.2993631229733582,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,531.0,40.63,446.0,30.71,481.0,25.71,446.0,522.0,9.539392014169099,499.0,61.84388948527313,481.0,68.05879810869422,596.0,415.0,0,0,0,0,0.0,0.0,2,516.5348837209302,108.15494811506254,0,0,1544,514.6666666666666,33.873056994818654,2024-03,454.95238095238096,0,0,1,506.33557046979865,16.664429530201346,3.2911828641111294,470.6046511627907,52.395348837209326,3.9023489932885873
2024-01-18,2024,1,18,Thursday,3,Breakfast,Dosa,4.6,Cloudy,29.1,False,False,False,False,False,False,800,478,63.2,184.03,146.2,37.83,20.56,107.71,19820.95,4074.67,10,74,4.41,3,0,0,-0.4853019625310808,-0.8743466161445822,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,471.0,40.09,486.0,30.4,406.0,32.29,486.0,465.3333333333333,16.258331197676103,395.57142857142856,82.95753359974236,385.42857142857144,71.82962136538453,478.0,271.0,0,0,0,0,0.0,0.0,2,496.3488372093023,101.6197121205963,1,0,1598,532.6666666666666,29.912390488110134,2024-03,454.95238095238096,0,0,1,400.19463087248323,77.80536912751677,19.44188230558956,502.8914728682171,-24.89147286821708,2.60234899328859
